stop_id,stop_name,up,down,stop_district,o,p_o
par_4_139,PARQUE DE LAS AVENIDAS,62970,62970,2807904,9558710.0,0.006587709010943945
par_4_323,ALSACIA,81154,81154,2807920,9024436.0,0.00899269494514671
par_4_324,AVENIDA DE GUADALAJARA,56818,56818,2807920,9024436.0,0.006296016726142221
par_4_325,LAS ROSAS,54331,54331,2807920,9024436.0,0.006020431636946619
par_4_74,CANILLEJAS,104793,104793,2807920,9024436.0,0.011612138420617089
par_4_75,TORRE ARIAS,72703,72703,2807920,9024436.0,0.008056237531076734
par_4_76,SUANZES,83164,83164,2807920,9024436.0,0.00921542354558224
par_4_132,LAS MUSAS,58967,58967,2807920,9024436.0,0.006534147951184983
par_4_133,SAN BLAS,68520,68520,2807920,9024436.0,0.007592718259623094
par_4_134,SIMANCAS,109630,109630,2807920,9024436.0,0.012148127594899005
par_4_286,ESTADIO METROPOLITANO,27261,27261,2807920,9024436.0,0.0030207981972502217
par_4_53,MONCLOA,903921,903921,2807909,11625237.0,0.0777550599613582
par_4_201,CASA DE CAMPO,65857,65857,2807909,11625237.0,0.005665002786609856
par_4_123,VICENTE ALEIXANDRE,68234,68234,2807909,11625237.0,0.00586947173636116
par_4_124,CIUDAD UNIVERSITARIA,162289,162289,2807909,11625237.0,0.013960059480937894
par_4_198,PRINCIPE PIO,726731,726731,2807909,11625237.0,0.06251322016058683
par_4_147,FRANCOS RODRIGUEZ,122175,122175,2807909,11625237.0,0.010509463161912312
par_4_148,VALDEZARZA,62408,62408,2807909,11625237.0,0.0053683206630540095
par_4_149,ANTONIO MACHADO,62987,62987,2807909,11625237.0,0.005418126099278664
par_4_199,LAGO,41572,41572,2807909,11625237.0,0.003576013116979895
par_4_200,BATAN,89621,89621,2807909,11625237.0,0.007709176165612796
par_4_267,ALMENDRALES,113875,113875,2807912,5965028.0,0.019090438469023113
par_4_268,HOSPITAL 12 DE OCTUBRE,94858,94858,2807912,5965028.0,0.01590235620017207
par_4_269,SAN FERMIN-ORCASUR,111917,111917,2807912,5965028.0,0.018762191895830165
par_4_109,USERA,253688,253688,2807912,5965028.0,0.04252922199191689
par_4_270,CIUDAD DE LOS ANGELES,143023,143023,2807917,8042264.5,0.017783921431581865
par_4_271,VILLAVERDE BAJO-CRUCE,192437,192437,2807917,8042264.5,0.02392821076700474
par_4_272,SAN CRISTOBAL,92081,92081,2807917,8042264.5,0.011449635858159106
par_4_273,VILLAVERDE ALTO,147819,147819,2807917,8042264.5,0.018380270880173112
par_4_69,ESPERANZA,41025,41025,2807916,10672989.0,0.003843815448512127
par_4_70,CANILLAS,62367,62367,2807916,10672989.0,0.005843442731928235
par_4_71,MAR DE CRISTAL,165393,165393,2807916,10672989.0,0.015496408737983334
par_4_72,SAN LORENZO,38768,38768,2807916,10672989.0,0.003632347039803002
par_4_73,PARQUE DE SANTA MARIA,34668,34668,2807916,10672989.0,0.003248199731115623
par_4_264,HORTALEZA,37456,37456,2807916,10672989.0,0.00350941990102304
par_4_265,MANOTERAS,29555,29555,2807916,10672989.0,0.002769139928842801
par_4_258,PINAR DEL REY,87240,87240,2807916,10672989.0,0.008173905173143156
par_4_94,MARQUES DE VADILLO,166639,166639,2807911,10489399.0,0.015886420184798
par_4_95,URGEL,138726,138726,2807911,10489399.0,0.013225352567863991
par_4_96,OPORTO,347042,347042,2807911,10489399.0,0.03308502231634053
par_4_97,VISTA ALEGRE,116922,116922,2807911,10489399.0,0.01114668247437246
par_4_98,CARABANCHEL,115228,115228,2807911,10489399.0,0.010985186091214568
par_4_99,EUGENIA DE MONTIJO,66840,66840,2807911,10489399.0,0.006372147727434146
par_4_105,CARPETANA,188769,188769,2807911,10489399.0,0.017996169275284503
par_4_107,OPANEL,122141,122141,2807911,10489399.0,0.011644232429331748
par_4_206,PLAZA ELIPTICA,351484,351484,2807911,10489399.0,0.033508497483983594
par_4_207,ABRANTES,44688,44688,2807911,10489399.0,0.004260301281322218
par_4_208,PAN BENDITO,30878,30878,2807911,10489399.0,0.0029437339546336256
par_4_254,SAN FRANCISCO,54799,54799,2807911,10489399.0,0.005224226859899218
par_4_255,CARABANCHEL ALTO,54592,54592,2807911,10489399.0,0.005204492650150881
par_4_256,LA PESETA,43410,43410,2807911,10489399.0,0.004138463986354223
par_4_100,ALUCHE,272021,272021,2807910,10712823.0,0.02539209319522968
par_4_101,EMPALME,61170,61170,2807910,10712823.0,0.005709979526404944
par_4_102,CAMPAMENTO,97308,97308,2807910,10712823.0,0.009083320054853888
par_4_104,LAGUNA,111986,111986,2807910,10712823.0,0.010453453772175644
par_4_128,PUERTA DEL ANGEL,152410,152410,2807910,10712823.0,0.014226875586388387
par_4_129,ALTO DE EXTREMADURA,110994,110994,2807910,10712823.0,0.010360854463851406
par_4_130,LUCERO,172361,172361,2807910,10712823.0,0.016089223167413482
par_4_202,COLONIA JARDIN,256760,256760,2807910,10712823.0,0.023967538715052045
par_4_257,AVIACION ESPANOLA,75614,75614,2807910,10712823.0,0.007058270261722797
par_4_203,CUATRO VIENTOS,97200,97200,2807910,10712823.0,0.009073238678544395
par_4_253,EL CAPRICHO,31880,31880,2807921,5561451.0,0.005732316979867305
par_4_252,ALAMEDA DE OSUNA,60187,60187,2807921,5561451.0,0.010822175723565666
par_4_158,FERIA DE MADRID,74445,74445,2807921,5561451.0,0.013385895155778592
par_4_159,AEROPUERTO T1-T2-T3,59451,59451,2807921,5561451.0,0.010689836159664087
par_4_160,BARAJAS,86539,86539,2807921,5561451.0,0.01556050750065046
par_4_285,AEROPUERTO T-4,58924,58924,2807921,5561451.0,0.010595076716489996
par_4_150,PENAGRANDE,103590,103590,2807908,14221296.0,0.007284146255024859
