direction,stop_district,stop_id,stop_lat,stop_lon,stop_name,line,service
1,2807911,par_6_331,40.395945086471706,-3.71904659350945,General Ricardos-Iglesia,118,emt
1,2807911,par_6_330,40.3972481980869,-3.71665652542038,Marqués de Vadillo,118,emt
1,2807902,par_6_328,40.4011837137714,-3.71324236847408,Pirámides,118,emt
1,2807902,par_6_380,40.402440061370704,-3.7111126193445294,Pirámides Cercanías,118,emt
1,2807902,par_6_381,40.403024588006396,-3.70981726819561,Olmos,118,emt
1,2807902,par_6_325,40.403803235551,-3.70697567116073,Acacias,118,emt
1,2807902,par_6_3126,40.4045943240898,-3.702816042828,Embajadores,118,emt
0,2807902,par_6_2308,40.4070706292156,-3.69404971205444,Atocha,119,emt
0,2807902,par_6_2309,40.4066088177874,-3.6959424425074903,Marqués de la Valdavia,119,emt
0,2807901,par_6_84,40.4062944752711,-3.69877287374323,Teatro Circo Price,119,emt
0,2807901,par_6_320,40.405511358764294,-3.70164187769844,Embajadores-Ronda de Valencia,119,emt
0,2807902,par_6_322,40.4047521531197,-3.70427094092386,Embajadores-Acacias,119,emt
0,2807902,par_6_324,40.4039915975804,-3.707111325015,Acacias,119,emt
0,2807902,par_6_326,40.40318983394821,-3.71004917478682,Olmos,119,emt
0,2807902,par_6_4669,40.40247842593771,-3.71146693388512,Pirámides Cercanías,119,emt
0,2807902,par_6_327,40.4013860189182,-3.71330710556673,Pirámides,119,emt
0,2807911,par_6_329,40.397217306372795,-3.7172807427498697,Marqués de Vadillo,119,emt
0,2807911,par_6_5624,40.3961195375478,-3.71924398132422,General Ricardos-Iglesia,119,emt
0,2807911,par_6_4239,40.3949893759006,-3.72134011165744,General Ricardos-Comandante Fontanes,119,emt
0,2807911,par_6_5560,40.39385069943871,-3.7233510205899294,General Ricardos-Camino Viejo Leganés,119,emt
0,2807911,par_6_3032,40.3928705865494,-3.72521185313218,Urgel,119,emt
0,2807911,par_6_3156,40.3922917505624,-3.72700845175375,Blasa Pérez-General Ricardos,119,emt
0,2807911,par_6_3158,40.393676297567,-3.7288950101372897,El Tercio,119,emt
0,2807911,par_6_3160,40.3937478674768,-3.73183164958476,Ervigio,119,emt
0,2807911,par_6_3565,40.3937721987175,-3.7336815142299,Roger de Flor,119,emt
0,2807911,par_6_3163,40.39378405282329,-3.7360725375225496,Zaida-Centro Social,119,emt
0,2807911,par_6_3165,40.392864288865795,-3.73903334990507,Arroyo de las Pavas,119,emt
0,2807910,par_6_2553,40.393387212627395,-3.74108564804928,Metro Vía Carpetana,119,emt
0,2807910,par_6_2554,40.3959931346903,-3.74353718090266,Los Cármenes,119,emt
0,2807910,par_6_2262,40.399092471982,-3.7442038841140897,Laguna,119,emt
0,2807910,par_6_3167,40.40092885421,-3.74302905205964,Concejal Francisco Jiménez-Alhambra,119,emt
0,2807910,par_6_3169,40.4014870496665,-3.7388623297775,Concejal Francisco Jiménez-Viñegra,119,emt
0,2807910,par_6_4533,40.4018657343867,-3.73598511458746,Concejal Francisco Jiménez-Cocheras,119,emt
0,2807910,par_6_4535,40.403071843955495,-3.73118190009084,Concejal Francisco Jiménez-Caramuel,119,emt
0,2807910,par_6_4512,40.4052214953262,-3.73102466074392,Barrio Goya,119,emt
1,2807910,par_6_4512,40.4052214953262,-3.73102466074392,Barrio Goya,119,emt
1,2807910,par_6_5347,40.4060872471174,-3.7301707313798302,Caramuel-Sepúlveda,119,emt
1,2807910,par_6_4536,40.4031747270926,-3.7312960727282714,Concejal Francisco Jiménez-Caramuel,119,emt
1,2807910,par_6_4534,40.40205363802279,-3.7361874973795097,Concejal Francisco Jiménez-Cocheras,119,emt
1,2807910,par_6_3170,40.401539606722004,-3.73980235699018,Concejal Francisco Jiménez-Viñegra,119,emt
1,2807910,par_6_3168,40.4011424041588,-3.74274267519764,Concejal Francisco Jiménez-Alhambra,119,emt
1,2807910,par_6_5094,40.39950870027489,-3.74462274971615,Laguna,119,emt
1,2807910,par_6_5100,40.3976419650653,-3.74421150654511,Alhambra-Cullera,119,emt
1,2807910,par_6_2555,40.39598691372221,-3.74380445367004,Los Cármenes,119,emt
1,2807910,par_6_639,40.3940681834884,-3.74236937961438,Valvanera-Laguna,119,emt
1,2807911,par_6_4766,40.39286224993371,-3.74076249552672,Metro Vía Carpetana,119,emt
1,2807911,par_6_3166,40.3927366666559,-3.739267618271581,Arroyo de las Pavas,119,emt
1,2807911,par_6_3914,40.3932593682226,-3.73570339700074,Zaida-Centro Social,119,emt
1,2807911,par_6_3915,40.39317689229271,-3.73379326346948,El Toboso-Matilde Hernández,119,emt
1,2807911,par_6_3916,40.3931053334899,-3.731576154595501,El Toboso-Ervigio,119,emt
1,2807911,par_6_3917,40.392729181078,-3.7290799719502,El Toboso-Blasa Pérez,119,emt
1,2807911,par_6_3157,40.3921024248992,-3.72702998502016,Blasa Pérez-General Ricardos,119,emt
1,2807911,par_6_336,40.392518149503395,-3.72538482406226,Urgel,119,emt
1,2807911,par_6_334,40.3937532733512,-3.72308301558623,General Ricardos-Camino Viejo Leganés,119,emt
