ds,y,t-168Mod
2020-06-29 23:00:00,110.939,152.433
2020-06-30 00:00:00,85.76,88.89229999999999
2020-06-30 01:00:00,64.413,36.855
2020-06-30 02:00:00,41.754,40.54
2020-06-30 03:00:00,38.316,40.648300000000006
2020-06-30 04:00:00,51.419,43.8886
2020-06-30 05:00:00,84.66,121.781
2020-06-30 06:00:00,138.91,234.858
2020-06-30 07:00:00,409.731,415.593
2020-06-30 08:00:00,541.918,440.249
2020-06-30 09:00:00,495.389,518.579
2020-06-30 10:00:00,488.03,525.1235
2020-06-30 11:00:00,588.873,339.20459999999997
2020-06-30 12:00:00,569.809,574.7907000000001
2020-06-30 13:00:00,700.817,439.3914
2020-06-30 14:00:00,672.755,727.3794
2020-06-30 15:00:00,578.638,770.212
2020-06-30 16:00:00,541.202,551.198
2020-06-30 17:00:00,608.867,522.398
2020-06-30 18:00:00,571.475,617.125
2020-06-30 19:00:00,627.217,384.7655
2020-06-30 20:00:00,570.976,606.1693
2020-06-30 21:00:00,364.474,227.1311
2020-06-30 22:00:00,255.147,254.85
2020-06-30 23:00:00,146.346,126.913
2020-07-01 00:00:00,162.726,128.906
2020-07-01 01:00:00,130.411,88.182
2020-07-01 02:00:00,93.063,14.531
2020-07-01 03:00:00,58.982,28.300800000000002
2020-07-01 04:00:00,35.253,28.874999999999996
2020-07-01 05:00:00,139.88,165.424
2020-07-01 06:00:00,197.256,214.7794
2020-07-01 07:00:00,477.056,276.4181
2020-07-01 08:00:00,535.925,533.377
2020-07-01 09:00:00,369.072,471.76
2020-07-01 10:00:00,359.112,472.11670000000004
2020-07-01 11:00:00,651.479,310.81329999999997
2020-07-01 12:00:00,564.135,603.401
2020-07-01 13:00:00,742.841,700.46
2020-07-01 14:00:00,614.407,735.702
2020-07-01 15:00:00,679.734,594.8778000000001
2020-07-01 16:00:00,633.472,549.007
2020-07-01 17:00:00,713.035,381.51469999999995
2020-07-01 18:00:00,801.843,695.2693
2020-07-01 19:00:00,742.993,420.43889999999993
2020-07-01 20:00:00,640.232,602.945
2020-07-01 21:00:00,556.084,325.904
2020-07-01 22:00:00,368.91,274.864
2020-07-01 23:00:00,190.76,173.356
2020-07-02 00:00:00,178.347,260.914
2020-07-02 01:00:00,69.532,81.263
2020-07-02 02:00:00,62.568,67.733
2020-07-02 03:00:00,59.405,45.179
2020-07-02 04:00:00,41.077,36.562
2020-07-02 05:00:00,70.504,108.648
2020-07-02 06:00:00,167.036,188.233
2020-07-02 07:00:00,353.559,416.754
2020-07-02 08:00:00,426.942,532.844
2020-07-02 09:00:00,494.784,505.167
2020-07-02 10:00:00,544.605,488.957
2020-07-02 11:00:00,417.278,606.272
2020-07-02 12:00:00,557.192,617.818
2020-07-02 13:00:00,615.886,712.1356000000001
2020-07-02 14:00:00,714.429,821.418
2020-07-02 15:00:00,622.348,499.51089999999994
2020-07-02 16:00:00,613.801,608.228
2020-07-02 17:00:00,617.055,668.992
2020-07-02 18:00:00,676.971,772.3067000000001
2020-07-02 19:00:00,630.282,495.22619999999995
2020-07-02 20:00:00,621.081,652.227
2020-07-02 21:00:00,367.254,457.5
2020-07-02 22:00:00,258.086,326.556
2020-07-02 23:00:00,214.79,180.432
2020-07-03 00:00:00,149.71,202.882
2020-07-03 01:00:00,118.464,126.903
2020-07-03 02:00:00,49.515,81.587
2020-07-03 03:00:00,49.621,51.231
2020-07-03 04:00:00,49.27,70.71240000000002
2020-07-03 05:00:00,96.171,39.0481
2020-07-03 06:00:00,207.848,174.681
2020-07-03 07:00:00,392.504,320.786
2020-07-03 08:00:00,486.9,353.92
2020-07-03 09:00:00,433.154,448.954
2020-07-03 10:00:00,465.139,418.32
2020-07-03 11:00:00,468.369,727.023
2020-07-03 12:00:00,524.014,555.235
2020-07-03 13:00:00,607.28,617.071
2020-07-03 14:00:00,620.881,596.7639999999999
2020-07-03 15:00:00,838.712,633.242
2020-07-03 16:00:00,584.362,542.059
2020-07-03 17:00:00,609.479,603.1520000000002
2020-07-03 18:00:00,548.655,639.338
2020-07-03 19:00:00,802.659,423.3802999999999
2020-07-03 20:00:00,710.766,759.0132
2020-07-03 21:00:00,545.342,333.81949999999995
2020-07-03 22:00:00,326.856,371.547
2020-07-03 23:00:00,193.119,126.5054
2020-07-04 00:00:00,259.707,207.365
2020-07-04 01:00:00,211.438,145.964
2020-07-04 02:00:00,89.063,135.0503
2020-07-04 03:00:00,77.44,49.4809
2020-07-04 04:00:00,75.931,68.812
2020-07-04 05:00:00,63.588,53.049
2020-07-04 06:00:00,104.002,86.145
2020-07-04 07:00:00,161.758,89.996
2020-07-04 08:00:00,192.565,206.216
2020-07-04 09:00:00,297.464,288.742
2020-07-04 10:00:00,341.864,306.545
2020-07-04 11:00:00,359.697,405.849
2020-07-04 12:00:00,496.671,332.329
2020-07-04 13:00:00,438.855,409.024
2020-07-04 14:00:00,495.414,382.755
2020-07-04 15:00:00,402.046,243.74769999999998
2020-07-04 16:00:00,437.089,380.305
2020-07-04 17:00:00,462.512,370.383
2020-07-04 18:00:00,529.735,543.477
2020-07-04 19:00:00,520.056,585.3738000000001
2020-07-04 20:00:00,578.783,529.299
2020-07-04 21:00:00,504.47,327.1597
2020-07-04 22:00:00,349.312,280.20520000000005
2020-07-04 23:00:00,208.512,101.01209999999999
2020-07-05 00:00:00,246.882,246.6783
2020-07-05 01:00:00,183.702,116.1475
2020-07-05 02:00:00,79.931,102.049
2020-07-05 03:00:00,81.287,78.601
2020-07-05 04:00:00,68.346,62.991
2020-07-05 05:00:00,65.099,65.879
2020-07-05 06:00:00,100.327,60.706
2020-07-05 07:00:00,77.448,88.645
2020-07-05 08:00:00,81.441,110.797
2020-07-05 09:00:00,108.22,203.473
2020-07-05 10:00:00,258.07,211.553
2020-07-05 11:00:00,262.624,379.716
2020-07-05 12:00:00,364.337,362.984
2020-07-05 13:00:00,316.78,327.88360000000006
2020-07-05 14:00:00,331.133,238.62789999999998
2020-07-05 15:00:00,274.792,374.3036
2020-07-05 16:00:00,318.194,255.367
2020-07-05 17:00:00,247.209,247.10559999999998
2020-07-05 18:00:00,336.454,386.547
2020-07-05 19:00:00,365.724,398.853
2020-07-05 20:00:00,319.417,362.55230000000006
2020-07-05 21:00:00,320.989,184.81259999999997
2020-07-05 22:00:00,310.868,239.55250000000004
2020-07-05 23:00:00,104.004,65.6026
2020-07-06 00:00:00,140.105,133.699
2020-07-06 01:00:00,92.77,63.38
2020-07-06 02:00:00,62.837,63.176
2020-07-06 03:00:00,48.617,56.911
2020-07-06 04:00:00,43.754,35.944
2020-07-06 05:00:00,81.248,90.479
2020-07-06 06:00:00,202.333,155.509
2020-07-06 07:00:00,398.033,389.261
2020-07-06 08:00:00,546.977,388.6707
2020-07-06 09:00:00,521.438,429.081
2020-07-06 10:00:00,524.013,402.922
2020-07-06 11:00:00,476.722,317.56129999999996
2020-07-06 12:00:00,573.01,400.598
2020-07-06 13:00:00,630.851,599.7453
2020-07-06 14:00:00,786.734,410.74809999999997
2020-07-06 15:00:00,677.772,605.3905000000001
2020-07-06 16:00:00,652.591,493.502
2020-07-06 17:00:00,631.68,356.17959999999994
2020-07-06 18:00:00,682.545,618.134
2020-07-06 19:00:00,740.797,676.4505000000001
2020-07-06 20:00:00,578.33,520.389
2020-07-06 21:00:00,428.186,413.205
2020-07-06 22:00:00,338.436,170.8602
2020-07-06 23:00:00,178.698,122.0329
2020-07-07 00:00:00,143.331,60.032
2020-07-07 01:00:00,102.739,70.85430000000001
2020-07-07 02:00:00,56.216,29.227799999999995
2020-07-07 03:00:00,57.42,38.316
2020-07-07 04:00:00,52.893,51.419
2020-07-07 05:00:00,179.097,84.66
2020-07-07 06:00:00,256.223,138.91
2020-07-07 07:00:00,528.91,409.731
2020-07-07 08:00:00,520.153,541.918
2020-07-07 09:00:00,508.451,495.389
2020-07-07 10:00:00,566.144,536.833
2020-07-07 11:00:00,374.329,412.2111
2020-07-07 12:00:00,548.074,569.809
2020-07-07 13:00:00,599.493,770.8987000000001
2020-07-07 14:00:00,668.448,470.9285
2020-07-07 15:00:00,746.178,578.638
2020-07-07 16:00:00,569.094,541.202
2020-07-07 17:00:00,704.365,669.7537
2020-07-07 18:00:00,586.879,571.475
2020-07-07 19:00:00,540.449,439.0519
2020-07-07 20:00:00,732.174,570.976
2020-07-07 21:00:00,472.208,364.474
2020-07-07 22:00:00,433.714,280.6617
2020-07-07 23:00:00,207.321,102.4422
2020-07-08 00:00:00,153.83,162.726
2020-07-08 01:00:00,71.696,130.411
2020-07-08 02:00:00,27.419,93.063
2020-07-08 03:00:00,69.228,58.982
2020-07-08 04:00:00,77.431,35.253
2020-07-08 05:00:00,84.354,139.88
2020-07-08 06:00:00,163.502,197.256
2020-07-08 07:00:00,405.165,477.056
2020-07-08 08:00:00,459.286,535.925
2020-07-08 09:00:00,481.559,405.97920000000005
2020-07-08 10:00:00,507.999,251.3784
2020-07-08 11:00:00,566.582,651.479
2020-07-08 12:00:00,487.028,620.5485
2020-07-08 13:00:00,573.979,742.841
2020-07-08 14:00:00,621.499,430.0849
2020-07-08 15:00:00,705.334,747.7074000000001
2020-07-08 16:00:00,647.692,633.472
2020-07-08 17:00:00,709.763,499.12449999999995
2020-07-08 18:00:00,659.218,801.843
2020-07-08 19:00:00,726.385,817.2923000000001
2020-07-08 20:00:00,575.285,448.16239999999993
2020-07-08 21:00:00,449.26,556.084
2020-07-08 22:00:00,325.928,405.80100000000004
2020-07-08 23:00:00,180.095,190.76
2020-07-09 00:00:00,164.305,124.8429
2020-07-09 01:00:00,106.194,69.532
2020-07-09 02:00:00,99.63,62.568
2020-07-09 03:00:00,22.128,59.405
2020-07-09 04:00:00,60.431,41.077
2020-07-09 05:00:00,96.627,70.504
2020-07-09 06:00:00,201.949,167.036
2020-07-09 07:00:00,330.452,353.559
2020-07-09 08:00:00,508.011,426.942
2020-07-09 09:00:00,507.201,494.784
2020-07-09 10:00:00,510.841,544.605
2020-07-09 11:00:00,585.945,417.278
2020-07-09 12:00:00,527.052,612.9112
2020-07-09 13:00:00,733.181,615.886
2020-07-09 14:00:00,740.864,500.10029999999995
2020-07-09 15:00:00,682.167,622.348
2020-07-09 16:00:00,623.481,613.801
2020-07-09 17:00:00,638.94,678.7605
2020-07-09 18:00:00,721.333,676.971
2020-07-09 19:00:00,584.252,441.1974
2020-07-09 20:00:00,777.848,621.081
2020-07-09 21:00:00,478.059,367.254
2020-07-09 22:00:00,359.508,258.086
2020-07-09 23:00:00,172.917,214.79
2020-07-10 00:00:00,196.935,149.71
2020-07-10 01:00:00,120.351,130.31040000000002
2020-07-10 02:00:00,101.627,34.6605
2020-07-10 03:00:00,52.488,49.621
2020-07-10 04:00:00,70.352,49.27
2020-07-10 05:00:00,109.95,96.171
2020-07-10 06:00:00,242.723,207.848
2020-07-10 07:00:00,383.969,392.504
2020-07-10 08:00:00,425.992,486.9
2020-07-10 09:00:00,620.817,476.4694
2020-07-10 10:00:00,487.326,325.59729999999996
2020-07-10 11:00:00,528.747,468.369
2020-07-10 12:00:00,662.843,576.4154000000001
2020-07-10 13:00:00,705.528,607.28
2020-07-10 14:00:00,627.525,434.6167
2020-07-10 15:00:00,686.499,838.712
2020-07-10 16:00:00,728.46,642.7982000000001
2020-07-10 17:00:00,583.783,426.63530000000003
2020-07-10 18:00:00,587.131,603.5205
2020-07-10 19:00:00,512.124,561.8612999999999
2020-07-10 20:00:00,461.624,710.766
2020-07-10 21:00:00,549.692,545.342
2020-07-10 22:00:00,400.729,326.856
2020-07-10 23:00:00,252.27,212.4309
2020-07-11 00:00:00,332.532,181.79489999999998
2020-07-11 01:00:00,192.295,211.438
2020-07-11 02:00:00,105.901,89.063
2020-07-11 03:00:00,88.818,77.44
2020-07-11 04:00:00,54.493,75.931
2020-07-11 05:00:00,60.919,63.588
2020-07-11 06:00:00,101.073,104.002
2020-07-11 07:00:00,120.046,161.758
2020-07-11 08:00:00,193.216,192.565
2020-07-11 09:00:00,330.901,297.464
2020-07-11 10:00:00,362.151,376.0504
2020-07-11 11:00:00,366.501,251.78789999999998
2020-07-11 12:00:00,331.416,546.3381
2020-07-11 13:00:00,420.819,307.19849999999997
2020-07-11 14:00:00,441.281,544.9554
2020-07-11 15:00:00,353.278,281.43219999999997
2020-07-11 16:00:00,324.173,437.089
2020-07-11 17:00:00,469.143,462.512
2020-07-11 18:00:00,480.537,529.735
2020-07-11 19:00:00,571.267,520.056
2020-07-11 20:00:00,595.776,578.783
2020-07-11 21:00:00,447.907,554.917
2020-07-11 22:00:00,375.054,244.51839999999999
2020-07-11 23:00:00,147.285,208.512
2020-07-12 00:00:00,219.825,246.882
2020-07-12 01:00:00,130.058,183.702
2020-07-12 02:00:00,99.781,79.931
2020-07-12 03:00:00,58.934,81.287
2020-07-12 04:00:00,42.839,68.346
2020-07-12 05:00:00,69.143,65.099
2020-07-12 06:00:00,78.408,100.327
2020-07-12 07:00:00,42.057,77.448
2020-07-12 08:00:00,90.702,81.441
2020-07-12 09:00:00,137.473,119.042
2020-07-12 10:00:00,269.299,180.64899999999997
2020-07-12 11:00:00,275.607,262.624
2020-07-12 12:00:00,279.948,364.337
2020-07-12 13:00:00,298.958,348.45799999999997
2020-07-12 14:00:00,343.655,231.79309999999998
2020-07-12 15:00:00,252.008,274.792
2020-07-12 16:00:00,280.669,318.194
2020-07-12 17:00:00,301.634,247.209
2020-07-12 18:00:00,337.116,370.09940000000006
2020-07-12 19:00:00,408.26,256.0068
2020-07-12 20:00:00,218.48,351.3587
2020-07-12 21:00:00,274.53,224.69229999999996
2020-07-12 22:00:00,196.887,341.95480000000003
2020-07-12 23:00:00,147.767,72.8028
2020-07-13 00:00:00,98.558,154.1155
2020-07-13 01:00:00,57.376,64.939
2020-07-13 02:00:00,21.562,62.837
2020-07-13 03:00:00,54.35,48.617
2020-07-13 04:00:00,66.991,43.754
2020-07-13 05:00:00,118.916,81.248
2020-07-13 06:00:00,210.061,202.333
2020-07-13 07:00:00,411.824,398.033
2020-07-13 08:00:00,535.627,546.977
2020-07-13 09:00:00,477.515,521.438
