ds,2807905-2807901
2020-02-23 19:00:00,730.042
2020-02-23 20:00:00,528.704
2020-02-23 21:00:00,353.474
2020-02-23 22:00:00,303.167
2020-02-23 23:00:00,135.798
2020-02-24 00:00:00,185.73
2020-02-24 01:00:00,154.664
2020-02-24 02:00:00,64.529
2020-02-24 03:00:00,89.63
2020-02-24 04:00:00,170.593
2020-02-24 05:00:00,175.662
2020-02-24 06:00:00,424.899
2020-02-24 07:00:00,953.013
2020-02-24 08:00:00,1111.551
2020-02-24 09:00:00,1085.167
2020-02-24 10:00:00,891.288
2020-02-24 11:00:00,1075.359
2020-02-24 12:00:00,1106.093
2020-02-24 13:00:00,1138.933
2020-02-24 14:00:00,1278.049
2020-02-24 15:00:00,1219.018
2020-02-24 16:00:00,1201.212
2020-02-24 17:00:00,1327.434
2020-02-24 18:00:00,1870.009
2020-02-24 19:00:00,1705.737
2020-02-24 20:00:00,1096.812
2020-02-24 21:00:00,653.485
2020-02-24 22:00:00,446.034
2020-02-24 23:00:00,206.45
2020-02-25 00:00:00,193.58
2020-02-25 01:00:00,87.005
2020-02-25 02:00:00,47.559
2020-02-25 03:00:00,33.32
2020-02-25 04:00:00,80.851
2020-02-25 05:00:00,173.636
2020-02-25 06:00:00,378.866
2020-02-25 07:00:00,971.3
2020-02-25 08:00:00,1318.4
2020-02-25 09:00:00,1185.237
2020-02-25 10:00:00,1022.225
2020-02-25 11:00:00,1031.16
2020-02-25 12:00:00,1127.213
2020-02-25 13:00:00,1192.807
2020-02-25 14:00:00,1343.659
2020-02-25 15:00:00,1394.532
2020-02-25 16:00:00,1559.518
2020-02-25 17:00:00,1241.109
2020-02-25 18:00:00,1657.818
2020-02-25 19:00:00,1920.384
2020-02-25 20:00:00,1454.843
2020-02-25 21:00:00,764.712
2020-02-25 22:00:00,519.18
2020-02-25 23:00:00,295.956
2020-02-26 00:00:00,269.858
2020-02-26 01:00:00,151.838
2020-02-26 02:00:00,63.617
2020-02-26 03:00:00,63.592
2020-02-26 04:00:00,83.746
2020-02-26 05:00:00,201.692
2020-02-26 06:00:00,442.859
2020-02-26 07:00:00,878.568
2020-02-26 08:00:00,1227.874
2020-02-26 09:00:00,1226.493
2020-02-26 10:00:00,1028.989
2020-02-26 11:00:00,1041.689
2020-02-26 12:00:00,918.598
2020-02-26 13:00:00,1372.696
2020-02-26 14:00:00,1408.041
2020-02-26 15:00:00,1278.975
2020-02-26 16:00:00,1548.043
2020-02-26 17:00:00,1714.469
2020-02-26 18:00:00,1973.667
2020-02-26 19:00:00,1816.806
2020-02-26 20:00:00,1314.91
2020-02-26 21:00:00,998.654
2020-02-26 22:00:00,1260.679
2020-02-26 23:00:00,726.725
2020-02-27 00:00:00,577.652
2020-02-27 01:00:00,315.332
2020-02-27 02:00:00,131.211
2020-02-27 03:00:00,96.449
2020-02-27 04:00:00,152.783
2020-02-27 05:00:00,209.304
2020-02-27 06:00:00,441.338
2020-02-27 07:00:00,930.934
2020-02-27 08:00:00,1334.591
2020-02-27 09:00:00,1272.754
2020-02-27 10:00:00,1078.321
2020-02-27 11:00:00,1128.602
2020-02-27 12:00:00,1077.811
2020-02-27 13:00:00,1299.633
2020-02-27 14:00:00,999.283
2020-02-27 15:00:00,1221.045
2020-02-27 16:00:00,1523.606
2020-02-27 17:00:00,1300.979
2020-02-27 18:00:00,1775.425
2020-02-27 19:00:00,1285.444
2020-02-27 20:00:00,1527.881
2020-02-27 21:00:00,1198.977
2020-02-27 22:00:00,754.854
2020-02-27 23:00:00,476.75
2020-02-28 00:00:00,403.258
2020-02-28 01:00:00,230.925
2020-02-28 02:00:00,153.138
2020-02-28 03:00:00,135.281
2020-02-28 04:00:00,147.095
2020-02-28 05:00:00,209.376
2020-02-28 06:00:00,411.664
2020-02-28 07:00:00,809.832
2020-02-28 08:00:00,1165.878
2020-02-28 09:00:00,995.966
2020-02-28 10:00:00,935.719
2020-02-28 11:00:00,1009.679
2020-02-28 12:00:00,1123.575
2020-02-28 13:00:00,1471.849
2020-02-28 14:00:00,1519.4
2020-02-28 15:00:00,1925.127
2020-02-28 16:00:00,1212.901
2020-02-28 17:00:00,1718.024
2020-02-28 18:00:00,1479.031
2020-02-28 19:00:00,1748.837
2020-02-28 20:00:00,1552.287
2020-02-28 21:00:00,1352.102
2020-02-28 22:00:00,879.214
2020-02-28 23:00:00,423.162
2020-02-29 00:00:00,595.672
2020-02-29 01:00:00,458.748
2020-02-29 02:00:00,222.096
2020-02-29 03:00:00,266.686
2020-02-29 04:00:00,178.741
2020-02-29 05:00:00,277.327
2020-02-29 06:00:00,220.734
2020-02-29 07:00:00,240.599
2020-02-29 08:00:00,305.619
2020-02-29 09:00:00,494.412
2020-02-29 10:00:00,757.961
2020-02-29 11:00:00,876.485
2020-02-29 12:00:00,1178.318
2020-02-29 13:00:00,1563.942
2020-02-29 14:00:00,1349.983
2020-02-29 15:00:00,1179.57
2020-02-29 16:00:00,1203.125
2020-02-29 17:00:00,1541.572
2020-02-29 18:00:00,1197.104
2020-02-29 19:00:00,1172.337
2020-02-29 20:00:00,1624.992
2020-02-29 21:00:00,1178.128
2020-02-29 22:00:00,908.604
2020-02-29 23:00:00,441.481
2020-03-01 00:00:00,565.368
2020-03-01 01:00:00,364.412
2020-03-01 02:00:00,264.327
2020-03-01 03:00:00,199.994
2020-03-01 04:00:00,149.432
2020-03-01 05:00:00,198.148
2020-03-01 06:00:00,142.68
2020-03-01 07:00:00,148.68
2020-03-01 08:00:00,236.758
2020-03-01 09:00:00,365.298
2020-03-01 10:00:00,622.402
2020-03-01 11:00:00,750.459
2020-03-01 12:00:00,931.224
2020-03-01 13:00:00,1001.382
2020-03-01 14:00:00,858.563
2020-03-01 15:00:00,714.96
2020-03-01 16:00:00,758.004
2020-03-01 17:00:00,817.738
2020-03-01 18:00:00,877.317
2020-03-01 19:00:00,776.18
2020-03-01 20:00:00,687.167
2020-03-01 21:00:00,591.601
2020-03-01 22:00:00,1059.479
2020-03-01 23:00:00,543.299
2020-03-02 00:00:00,541.189
2020-03-02 01:00:00,174.267
2020-03-02 02:00:00,145.34
2020-03-02 03:00:00,108.039
2020-03-02 04:00:00,129.438
2020-03-02 05:00:00,179.233
2020-03-02 06:00:00,445.273
2020-03-02 07:00:00,790.64
2020-03-02 08:00:00,1042.19
2020-03-02 09:00:00,889.251
2020-03-02 10:00:00,803.478
2020-03-02 11:00:00,972.241
2020-03-02 12:00:00,943.616
2020-03-02 13:00:00,1032.44
2020-03-02 14:00:00,1174.474
